year,track,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
1970's,Layla,Derek & The Dominos,0.404,0.903,-3.88,0.0668,0.577,0.297,0.498,115.672
1970's,Nani Hanalei,The Brothers Cazimero,0.363,0.089,-23.291,0.0334,0.79,0.000491,0.404,76.187
1970's,Superman,Donna Fargo,0.607,0.668,-11.682,0.039,0.503,3.68e-06,0.96,99.645
1970's,My Head Is My Only House Unless It Rains,Captain Beefheart & His Magic Band,0.842,0.256,-20.038,0.0535,0.81,0.276,0.612,113.221
1970's,Spider Jiving,Andy Fairweather Low,0.598,0.748,-5.237,0.0419,0.317,2.27e-05,0.878,156.782
1970's,Arabia (strange fanfare leading into bazaar scene),Deuter,0.273,0.269,-13.223,0.0423,0.882,0.991,0.0852,137.885
1970's,Spiral,Vangelis,0.286,0.446,-14.356,0.0482,0.264,0.859,0.0577,124.35
1970's,Johnny Walker,Westernhagen,0.515,0.148,-20.016,0.0443,0.752,0,0.651,150.544
1970's,Part Time Love,Ann Peebles,0.777,0.457,-11.894,0.0333,0.0621,0.000265,0.854,99.646
1970's,Rising Sun,Kitaro,0.137,0.312,-13.207,0.0357,0.398,0.0969,0.0372,87.954
1970's,I'm On Fire,5000 Volts,0.554,0.793,-9.428,0.0355,0.0298,0,0.924,138.549
1970's,Baby Sister Blues,Johnny Shines,0.543,0.106,-18.102,0.0406,0.839,0.00101,0.528,112.812
1970's,Psycho Mafia,The Fall,0.3,0.894,-6.108,0.261,0.000233,0.00022,0.801,180.043
1970's,New Ways To Live,Piero Piccioni,0.521,0.835,-5.083,0.0342,0.0315,0.912,0.875,105.115
1970's,I Ain't Got a Little Bed,Bukka White,0.617,0.122,-16.193,0.479,0.905,1.77e-06,0.408,173.645
1970's,Amb la Boca Tancada,Ramon Muntaner,0.32,0.675,-6.797,0.0484,0.48,2.53e-05,0.418,156.113
1970's,Let Me In,The Osmonds,0.18,0.453,-10.914,0.0336,0.678,0,0.427,164.328
1970's,Name of the Game,Brian Bennett,0.551,0.305,-19.099,0.0549,0.0798,0.883,0.232,81.843
1970's,Love Is Like Oxygen,Sweet,0.567,0.455,-9.896,0.0479,0.242,2.79e-06,0.58,123.416
1970's,Take Me To The River,Syl Johnson,0.922,0.737,-8.367,0.041,0.0368,0.716,0.905,114.261
1970's,Ballade de l'humeur vagabonde,Eric Demarsan,0.458,0.437,-5.557,0.0291,0.772,1.36e-05,0.708,96.649
